Runs_str,Runs,BF,SR,4s,6s,Opposition,Ground,Start Date,is_not_out,DNB
1,1,5,20.0,0,0,KKR,Bengaluru,2008-04-18,0,0
23,23,14,164.28,3,1,MI,Wankhede,2008-04-20,0,0
13,13,14,92.85,0,1,RR,Bengaluru,2008-04-26,0,0
12,12,7,171.42,2,0,CSK,Bengaluru,2008-04-28,0,0
1*,1,1,100.0,0,0,Daredevils,Delhi,2008-04-30,1,0
38,38,29,131.03,1,2,Chargers,Bengaluru,2008-05-03,0,0
34,34,36,94.44,5,0,Kings XI,Bengaluru,2008-05-05,0,0
DNB,0,0,0.0,0,0,KKR,Eden Gardens,2008-05-08,0,1
21,21,22,95.45,4,0,Kings XI,Mohali,2008-05-12,0,0
3,3,7,42.85,0,0,RR,Jaipur,2008-05-17,0,0
10,10,16,62.5,1,0,CSK,Chennai,2008-05-21,0,0
9,9,5,180.0,2,0,Chargers,Hyderabad,2008-05-25,0,0
0,0,1,0.0,0,0,MI,Bengaluru,2008-05-28,0,0
3,3,8,37.5,0,0,RR,Cape Town,2009-04-18,0,0
11,11,13,84.61,0,1,CSK,Gqeberha,2009-04-20,0,0
50,50,32,156.25,7,0,Chargers,Cape Town,2009-04-22,0,0
2,2,3,66.66,0,0,Kings XI,Durban,2009-04-24,0,0
22,22,24,91.66,1,0,Daredevils,Gqeberha,2009-04-26,0,0
19,19,12,158.33,1,1,KKR,Durban,2009-04-29,0,0
16,16,14,114.28,2,0,Kings XI,Durban,2009-05-01,0,0
DNB,0,0,0.0,0,0,MI,Johannesburg,2009-05-03,0,1
15,15,22,68.18,1,0,RR,Centurion,2009-05-07,0,0
20,20,22,90.9,4,0,MI,Gqeberha,2009-05-10,0,0
DNB,0,0,0.0,0,0,KKR,Centurion,2009-05-12,0,1
38,38,35,108.57,4,2,CSK,Durban,2009-05-14,0,0
DNB,0,0,0.0,0,0,Daredevils,Johannesburg,2009-05-19,0,1
19*,19,9,211.11,0,2,Chargers,Centurion,2009-05-21,1,0
24*,24,17,141.17,1,2,CSK,Johannesburg,2009-05-23,1,0
7,7,8,87.5,1,0,Chargers,Johannesburg,2009-05-24,0,0
2,2,5,40.0,0,0,KKR,Eden Gardens,2010-03-14,0,0
16*,16,12,133.33,1,1,Kings XI,Bengaluru,2010-03-16,1,0
DNB,0,0,0.0,0,0,RR,Bengaluru,2010-03-18,0,1
17,17,12,141.66,0,2,MI,Brabourne,2010-03-20,0,0
24,24,16,150.0,2,1,CSK,Bengaluru,2010-03-23,0,0
38*,38,23,165.21,4,1,Daredevils,Bengaluru,2010-03-25,1,0
34,34,24,141.66,3,1,CSK,Chennai,2010-03-31,0,0
42,42,26,161.53,4,1,Kings XI,Mohali,2010-04-02,0,0
13,13,11,118.18,1,0,Daredevils,Delhi,2010-04-04,0,0
58,58,35,165.71,4,4,Chargers,Bengaluru,2010-04-08,0,0
DNB,0,0,0.0,0,0,KKR,Bengaluru,2010-04-10,0,1
3,3,4,75.0,0,0,Chargers,Nagpur,2010-04-12,0,0
14,14,13,107.69,2,0,RR,Jaipur,2010-04-14,0,0
37,37,24,154.16,4,1,MI,Bengaluru,2010-04-17,0,0
9,9,7,128.57,1,0,MI,DY Patil,2010-04-21,0,0
DNB,0,0,0.0,0,0,Chargers,DY Patil,2010-04-24,0,1
23,23,18,127.77,4,0,Kochi,Kochi,2011-04-09,0,0
12,12,19,63.15,2,0,MI,Bengaluru,2011-04-12,0,0
71,71,51,139.21,5,3,Chargers,Hyderabad,2011-04-14,0,0
35,35,28,125.0,4,1,CSK,Chennai,2011-04-16,0,0
30*,30,23,130.43,3,1,KKR,Eden Gardens,2011-04-22,1,0
56,56,38,147.36,8,2,Daredevils,Delhi,2011-04-26,0,0
67,67,42,159.52,4,4,Warriors,Bengaluru,2011-04-29,0,0
27,27,31,87.09,4,0,Kings XI,Bengaluru,2011-05-06,0,0
27*,27,33,81.81,3,0,Kochi,Bengaluru,2011-05-08,1,0
39*,39,34,114.7,3,1,RR,Jaipur,2011-05-11,1,0
15,15,15,100.0,2,0,KKR,Bengaluru,2011-05-14,0,0
11,11,11,100.0,2,0,Kings XI,Dharamsala,2011-05-17,0,0
31,31,29,106.89,5,0,CSK,Bengaluru,2011-05-22,0,0
70*,70,44,159.09,5,3,CSK,Wankhede,2011-05-24,1,0
8,8,12,66.66,0,0,MI,Chennai,2011-05-27,0,0
35,35,32,109.37,1,1,CSK,Chennai,2011-05-28,0,0
8,8,8,100.0,1,0,Daredevils,Bengaluru,2012-04-07,0,0
6,6,14,42.85,1,0,KKR,Bengaluru,2012-04-10,0,0
57,57,46,123.91,5,2,CSK,Chennai,2012-04-12,0,0
22,22,18,122.22,2,0,RR,Bengaluru,2012-04-15,0,0
16,16,19,84.21,1,0,Warriors,Bengaluru,2012-04-17,0,0
4,4,4,100.0,1,0,Kings XI,Mohali,2012-04-20,0,0
